,date,season,year,month,holiday,day_of_the_week,workingday,weather,temp,feel_temp,humidity,wind_speed,casual,registered,count_rental
74,2011-03-16,Spring,2011,Maret,0,Rabu,Holiday,Cloudy_Misty,14.973897000000001,15.04413,77.65220000000001,0.203117,321,1871,2192
75,2011-03-17,Spring,2011,Maret,0,Kamis,Holiday,Clear,17.015,16.823653,60.291700000000006,0.209579,424,2320,2744
76,2011-03-18,Spring,2011,Maret,0,Jumat,Holiday,Clear,22.14,21.607369,52.5217,0.231017,884,2355,3239
77,2011-03-19,Spring,2011,Maret,0,Sabtu,Workday,Clear,19.3725,19.127525000000002,37.9167,0.368167,1424,1693,3117
78,2011-03-20,Spring,2011,Maret,0,Minggu,Workday,Clear,13.6325,13.355749999999999,47.375,0.207721,1047,1424,2471
79,2011-03-21,Summer,2011,Maret,0,Senin,Holiday,Cloudy_Misty,17.647835,16.799135,73.73910000000001,0.288783,401,1676,2077
80,2011-03-22,Summer,2011,Maret,0,Selasa,Holiday,Clear,18.108347,18.066322,62.4583,0.22575,460,2243,2703
81,2011-03-23,Summer,2011,Maret,0,Rabu,Holiday,Cloudy_Misty,14.225237,13.855499,83.9565,0.234261,203,1918,2121
82,2011-03-24,Summer,2011,Maret,0,Kamis,Holiday,Cloudy_Misty,11.684999999999999,11.104153,80.58330000000001,0.243787,166,1699,1865
83,2011-03-25,Summer,2011,Maret,0,Jumat,Holiday,Clear,10.830846999999999,10.508792,49.5,0.230725,300,1910,2210
84,2011-03-26,Summer,2011,Maret,0,Sabtu,Workday,Clear,10.899153,10.560411,39.4167,0.209571,981,1515,2496
85,2011-03-27,Summer,2011,Maret,0,Minggu,Workday,Cloudy_Misty,10.374763000000002,10.263898999999999,49.3913,0.1843,472,1221,1693
86,2011-03-28,Summer,2011,Maret,0,Senin,Holiday,Clear,10.838268000000001,10.560534,30.2174,0.212204,222,1806,2028
87,2011-03-29,Summer,2011,Maret,0,Selasa,Holiday,Clear,12.4025,12.009228,31.4167,0.226996,317,2108,2425
88,2011-03-30,Summer,2011,Maret,0,Rabu,Holiday,Cloudy_Misty,12.299999999999999,12.19135,64.6667,0.172888,168,1368,1536
89,2011-03-31,Summer,2011,Maret,0,Kamis,Holiday,Light_rain_snow,11.001653,10.560575,91.8333,0.217646,179,1506,1685
90,2011-04-01,Summer,2011,April,0,Jumat,Holiday,Cloudy_Misty,12.299999999999999,11.621614,68.625,0.258708,307,1920,2227
91,2011-04-02,Summer,2011,April,0,Sabtu,Workday,Cloudy_Misty,12.915000000000001,12.941117,65.375,0.197146,898,1354,2252
92,2011-04-03,Summer,2011,April,0,Minggu,Workday,Clear,15.511652999999999,15.529447000000001,48.0,0.182213,1651,1598,3249
93,2011-04-04,Summer,2011,April,0,Senin,Holiday,Clear,23.506653,22.260089,42.625,0.385571,734,2381,3115
94,2011-04-05,Summer,2011,April,0,Selasa,Holiday,Cloudy_Misty,16.980847,16.332349999999998,64.2083,0.388067,167,1628,1795
95,2011-04-06,Summer,2011,April,0,Rabu,Holiday,Clear,16.024153,15.891928,47.0833,0.263063,413,2395,2808
96,2011-04-07,Summer,2011,April,0,Kamis,Holiday,Clear,17.9375,17.781536000000003,60.291700000000006,0.162312,571,2570,3141
97,2011-04-08,Summer,2011,April,0,Jumat,Holiday,Cloudy_Misty,13.769153,13.303639,83.625,0.226992,172,1299,1471
98,2011-04-09,Summer,2011,April,0,Sabtu,Workday,Cloudy_Misty,14.0425,14.002689000000002,87.75,0.133083,879,1576,2455
99,2011-04-10,Summer,2011,April,0,Minggu,Workday,Cloudy_Misty,17.493347,17.496216999999998,85.75,0.146767,1188,1707,2895
100,2011-04-11,Summer,2011,April,0,Senin,Holiday,Cloudy_Misty,24.421732,23.173897,71.6956,0.324474,855,2493,3348
101,2011-04-12,Summer,2011,April,0,Selasa,Holiday,Cloudy_Misty,20.6025,20.215214,73.9167,0.274879,257,1777,2034
102,2011-04-13,Summer,2011,April,0,Rabu,Holiday,Cloudy_Misty,16.912499999999998,17.108603000000002,81.91669999999999,0.250617,209,1953,2162
103,2011-04-14,Summer,2011,April,0,Kamis,Holiday,Clear,19.1675,18.972421999999998,54.041700000000006,0.1107,529,2738,3267
104,2011-04-15,Summer,2011,April,1,Jumat,Workday,Clear,18.313347,18.118433,67.125,0.226375,642,2484,3126
105,2011-04-16,Summer,2011,April,0,Sabtu,Workday,Light_rain_snow,17.664153000000002,17.445172,88.83330000000001,0.340808,121,674,795
106,2011-04-17,Summer,2011,April,0,Minggu,Workday,Clear,18.723347,18.273536,47.9583,0.303496,1558,2186,3744
107,2011-04-18,Summer,2011,April,0,Senin,Holiday,Clear,21.0125,20.628985999999998,54.25,0.163567,669,2760,3429
108,2011-04-19,Summer,2011,April,0,Selasa,Holiday,Cloudy_Misty,20.739152999999998,20.059578000000002,66.5833,0.157971,409,2795,3204
109,2011-04-20,Summer,2011,April,0,Rabu,Holiday,Clear,24.395,23.140072,61.4167,0.241925,613,3331,3944
110,2011-04-21,Summer,2011,April,0,Kamis,Holiday,Clear,18.825847,18.609572,40.708299999999994,0.325258,745,3444,4189
111,2011-04-22,Summer,2011,April,0,Jumat,Holiday,Cloudy_Misty,13.803347,13.200114000000001,72.9583,0.219521,177,1506,1683
112,2011-04-23,Summer,2011,April,0,Sabtu,Workday,Cloudy_Misty,18.86,18.454961,88.79169999999999,0.230725,1462,2574,4036
113,2011-04-24,Summer,2011,April,0,Minggu,Workday,Cloudy_Misty,23.848347,22.622283,81.08330000000001,0.192175,1710,2481,4191
114,2011-04-25,Summer,2011,April,0,Senin,Holiday,Clear,24.873347,23.5545,77.6667,0.185333,773,3300,4073
115,2011-04-26,Summer,2011,April,0,Selasa,Holiday,Clear,25.898346999999998,24.357403,72.9167,0.3265,678,3722,4400
116,2011-04-27,Summer,2011,April,0,Rabu,Holiday,Cloudy_Misty,25.419999999999998,23.580822,83.54169999999999,0.3122,547,3325,3872
117,2011-04-28,Summer,2011,April,0,Kamis,Holiday,Cloudy_Misty,25.317500000000003,23.736089,70.08330000000001,0.320908,569,3489,4058
118,2011-04-29,Summer,2011,April,0,Jumat,Holiday,Clear,20.91,20.395983,45.7083,0.240063,878,3717,4595
119,2011-04-30,Summer,2011,April,0,Sabtu,Workday,Clear,19.3725,19.024861,50.3333,0.235075,1965,3347,5312
120,2011-05-01,Summer,2011,Mei,0,Minggu,Workday,Cloudy_Misty,18.518347,18.376364,76.2083,0.106354,1138,2213,3351
121,2011-05-02,Summer,2011,Mei,0,Senin,Holiday,Cloudy_Misty,22.515846999999997,21.846153,73.0,0.183454,847,3554,4401
122,2011-05-03,Summer,2011,Mei,0,Selasa,Holiday,Cloudy_Misty,25.283347,23.865239,69.7083,0.342667,603,3848,4451
123,2011-05-04,Summer,2011,Mei,0,Rabu,Holiday,Cloudy_Misty,16.980847,16.59065,73.70830000000001,0.328996,255,2378,2633
124,2011-05-05,Summer,2011,Mei,0,Kamis,Holiday,Clear,18.825847,18.118597,44.4167,0.295392,614,3819,4433
125,2011-05-06,Summer,2011,Mei,0,Jumat,Holiday,Clear,19.645847,19.438797,59.0,0.228246,894,3714,4608
126,2011-05-07,Summer,2011,Mei,0,Sabtu,Workday,Clear,21.32,21.017461,54.125,0.16045,1612,3102,4714
127,2011-05-08,Summer,2011,Mei,0,Minggu,Workday,Clear,21.661653,21.276253,63.1667,0.0746375,1401,2932,4333
128,2011-05-09,Summer,2011,Mei,0,Senin,Holiday,Clear,21.8325,21.535086,58.875,0.176,664,3698,4362
129,2011-05-10,Summer,2011,Mei,0,Selasa,Holiday,Clear,21.8325,21.431561,48.9167,0.115671,694,4109,4803
130,2011-05-11,Summer,2011,Mei,0,Rabu,Holiday,Clear,22.2425,21.6644,63.29169999999999,0.120642,550,3632,4182
131,2011-05-12,Summer,2011,Mei,0,Kamis,Holiday,Clear,21.935000000000002,21.457883000000002,74.75,0.189667,695,4169,4864
132,2011-05-13,Summer,2011,Mei,0,Jumat,Holiday,Cloudy_Misty,21.0125,20.2663,86.33330000000001,0.179725,692,3413,4105
133,2011-05-14,Summer,2011,Mei,0,Sabtu,Workday,Cloudy_Misty,21.354153,20.525789,92.25,0.13495,902,2507,3409
134,2011-05-15,Summer,2011,Mei,0,Minggu,Workday,Cloudy_Misty,23.0625,21.976000000000003,86.70830000000001,0.152979,1582,2971,4553
135,2011-05-16,Summer,2011,Mei,0,Senin,Holiday,Clear,23.677500000000002,22.570992,78.79169999999999,0.126871,773,3185,3958
136,2011-05-17,Summer,2011,Mei,0,Selasa,Holiday,Cloudy_Misty,23.028347,22.079689000000002,83.7917,0.277354,678,3445,4123
137,2011-05-18,Summer,2011,Mei,0,Rabu,Holiday,Cloudy_Misty,22.55,21.613478,87.0,0.201492,536,3319,3855
138,2011-05-19,Summer,2011,Mei,0,Kamis,Holiday,Cloudy_Misty,21.764153,20.940422,82.9583,0.108213,735,3840,4575
139,2011-05-20,Summer,2011,Mei,0,Jumat,Holiday,Clear,22.003347,21.690722,71.9583,0.125013,909,4008,4917
140,2011-05-21,Summer,2011,Mei,0,Sabtu,Workday,Clear,24.7025,23.450975,62.6667,0.12065,2258,3547,5805
141,2011-05-22,Summer,2011,Mei,0,Minggu,Workday,Clear,24.770847,23.5545,74.9583,0.148008,1576,3084,4660
142,2011-05-23,Summer,2011,Mei,0,Senin,Holiday,Cloudy_Misty,25.898346999999998,24.202136000000003,81.0,0.233842,836,3438,4274
143,2011-05-24,Summer,2011,Mei,0,Selasa,Holiday,Cloudy_Misty,27.060000000000002,24.797333000000002,74.0833,0.207092,659,3833,4492
144,2011-05-25,Summer,2011,Mei,0,Rabu,Holiday,Clear,27.094153,25.237222000000003,69.625,0.154233,740,4238,4978
145,2011-05-26,Summer,2011,Mei,0,Kamis,Holiday,Clear,29.041653,26.842208000000003,67.75,0.199642,758,3919,4677
146,2011-05-27,Summer,2011,Mei,0,Jumat,Holiday,Clear,27.948347000000002,26.117328,65.375,0.240679,871,3808,4679
147,2011-05-28,Summer,2011,Mei,0,Sabtu,Workday,Clear,26.889153,25.107539,72.9583,0.230092,2001,2757,4758
148,2011-05-29,Summer,2011,Mei,0,Minggu,Workday,Clear,27.3675,25.237550000000002,81.875,0.213938,2355,2433,4788
149,2011-05-30,Summer,2011,Mei,1,Senin,Workday,Clear,30.066653000000002,27.514772,68.5,0.131225,1549,2549,4098
150,2011-05-31,Summer,2011,Mei,0,Selasa,Holiday,Clear,31.775000000000002,29.740703,63.6667,0.111329,673,3309,3982
151,2011-06-01,Summer,2011,Juni,0,Rabu,Holiday,Cloudy_Misty,31.330847000000002,29.559647000000002,67.7083,0.207092,513,3461,3974
152,2011-06-02,Summer,2011,Juni,0,Kamis,Holiday,Clear,29.314999999999998,26.401622,30.5,0.292287,736,4232,4968
153,2011-06-03,Summer,2011,Juni,0,Jumat,Holiday,Clear,25.419999999999998,24.072453,35.4167,0.253121,898,4414,5312
154,2011-06-04,Summer,2011,Juni,0,Sabtu,Workday,Clear,26.035,24.382536,45.625,0.123142,1869,3473,5342
155,2011-06-05,Summer,2011,Juni,0,Minggu,Workday,Cloudy_Misty,26.581653000000003,25.288964,65.25,0.138692,1685,3221,4906
156,2011-06-06,Summer,2011,Juni,0,Senin,Holiday,Clear,27.811653,25.496178,60.0,0.121896,673,3875,4548
157,2011-06-07,Summer,2011,Juni,0,Selasa,Holiday,Clear,29.0075,26.89395,59.791700000000006,0.187808,763,4070,4833
158,2011-06-08,Summer,2011,Juni,0,Rabu,Holiday,Clear,31.809153,29.818439,62.20830000000001,0.136817,676,3725,4401
159,2011-06-09,Summer,2011,Juni,0,Kamis,Holiday,Cloudy_Misty,33.141653,31.060739,56.833299999999994,0.149883,563,3352,3915
160,2011-06-10,Summer,2011,Juni,0,Jumat,Holiday,Clear,30.955000000000002,28.834972,60.5,0.140554,815,3771,4586
161,2011-06-11,Summer,2011,Juni,0,Sabtu,Workday,Clear,29.724999999999998,27.799558,65.45830000000001,0.15485,1729,3237,4966
162,2011-06-12,Summer,2011,Juni,0,Minggu,Workday,Clear,28.392500000000002,26.376325,74.7917,0.163567,1467,2993,4460
163,2011-06-13,Summer,2011,Juni,0,Senin,Holiday,Clear,26.035,24.667814,49.4583,0.30535,863,4157,5020
164,2011-06-14,Summer,2011,Juni,0,Selasa,Holiday,Clear,24.770847,24.253386,50.708299999999994,0.269283,727,4164,4891
165,2011-06-15,Summer,2011,Juni,0,Rabu,Holiday,Clear,25.693347,24.097914,47.1667,0.167912,769,4411,5180
166,2011-06-16,Summer,2011,Juni,0,Kamis,Holiday,Cloudy_Misty,25.761653000000003,24.409186000000002,68.8333,0.206471,545,3222,3767
167,2011-06-17,Summer,2011,Juni,0,Jumat,Holiday,Clear,26.615847000000002,24.615703,73.5833,0.143029,863,3981,4844
168,2011-06-18,Summer,2011,Juni,0,Sabtu,Workday,Clear,28.563347,26.402114,67.0417,0.119408,1807,3312,5119
169,2011-06-19,Summer,2011,Juni,0,Minggu,Workday,Cloudy_Misty,28.665847,26.479686,66.6667,0.102,1639,3105,4744
170,2011-06-20,Summer,2011,Juni,0,Senin,Holiday,Cloudy_Misty,26.035,24.409186000000002,74.625,0.155475,699,3311,4010
171,2011-06-21,Fall,2011,Juni,0,Selasa,Holiday,Cloudy_Misty,27.914153000000002,26.143486000000003,77.0417,0.171025,774,4061,4835
172,2011-06-22,Fall,2011,Juni,0,Rabu,Holiday,Clear,30.066653000000002,28.446989000000002,70.75,0.172262,661,3846,4507
173,2011-06-23,Fall,2011,Juni,0,Kamis,Holiday,Cloudy_Misty,29.861653,28.447153,70.3333,0.238804,746,4044,4790
174,2011-06-24,Fall,2011,Juni,0,Jumat,Holiday,Clear,29.690847,26.919903,57.3333,0.222025,969,4022,4991
175,2011-06-25,Fall,2011,Juni,0,Sabtu,Workday,Clear,28.494999999999997,26.375833,48.3333,0.209571,1782,3420,5202
176,2011-06-26,Fall,2011,Juni,0,Minggu,Workday,Clear,27.880000000000003,26.142789,51.3333,0.0945333,1920,3385,5305
177,2011-06-27,Fall,2011,Juni,0,Senin,Holiday,Cloudy_Misty,27.982499999999998,26.117164,65.8333,0.107588,854,3854,4708
178,2011-06-28,Fall,2011,Juni,0,Selasa,Holiday,Clear,30.510847000000002,28.394878,63.416700000000006,0.144283,732,3916,4648
179,2011-06-29,Fall,2011,Juni,0,Rabu,Holiday,Clear,29.861653,26.842208000000003,49.7917,0.261821,848,4377,5225
180,2011-06-30,Fall,2011,Juni,0,Kamis,Holiday,Clear,28.563347,26.117328,43.416700000000006,0.185312,1027,4488,5515
181,2011-07-01,Fall,2011,Juli,0,Jumat,Holiday,Clear,29.622500000000002,26.738642000000002,39.625,0.102608,1246,4116,5362
182,2011-07-02,Fall,2011,Juli,0,Sabtu,Workday,Clear,30.271653,27.359628,44.4583,0.115062,2204,2915,5119
183,2011-07-03,Fall,2011,Juli,0,Minggu,Workday,Cloudy_Misty,29.383347,27.411575000000003,68.25,0.228858,2282,2367,4649
184,2011-07-04,Fall,2011,Juli,1,Senin,Workday,Cloudy_Misty,29.793346999999997,27.282097,63.7917,0.0814792,3065,2978,6043
185,2011-07-05,Fall,2011,Juli,0,Selasa,Holiday,Clear,30.613346999999997,28.549858,59.0417,0.126258,1031,3634,4665
186,2011-07-06,Fall,2011,Juli,0,Rabu,Holiday,Clear,29.52,28.110953000000002,74.33330000000001,0.149883,784,3845,4629
187,2011-07-07,Fall,2011,Juli,0,Kamis,Holiday,Clear,30.75,28.161711,65.125,0.1592,754,3838,4592
188,2011-07-08,Fall,2011,Juli,0,Jumat,Holiday,Cloudy_Misty,29.075847,27.489803000000002,75.79169999999999,0.225129,692,3348,4040
189,2011-07-09,Fall,2011,Juli,0,Sabtu,Workday,Clear,30.066653000000002,27.230478,60.9167,0.167912,1988,3348,5336
190,2011-07-10,Fall,2011,Juli,0,Minggu,Workday,Clear,30.6475,28.291025,57.8333,0.183471,1743,3138,4881
191,2011-07-11,Fall,2011,Juli,0,Senin,Holiday,Clear,31.2625,29.921964,63.5833,0.282337,723,3363,4086
192,2011-07-12,Fall,2011,Juli,0,Selasa,Holiday,Clear,32.560846999999995,30.310275,55.9167,0.200254,662,3596,4258
193,2011-07-13,Fall,2011,Juli,0,Rabu,Holiday,Clear,30.613346999999997,28.265564,63.1667,0.146133,748,3594,4342
194,2011-07-14,Fall,2011,Juli,0,Kamis,Holiday,Clear,27.914153000000002,26.039264,47.625,0.240667,888,4196,5084
195,2011-07-15,Fall,2011,Juli,0,Jumat,Holiday,Clear,27.196652999999998,25.599211,59.12500000000001,0.182833,1318,4220,5538
196,2011-07-16,Fall,2011,Juli,0,Sabtu,Workday,Clear,28.153347,26.168783,58.5,0.208342,2418,3505,5923
197,2011-07-17,Fall,2011,Juli,0,Minggu,Workday,Clear,29.485847,27.463153000000002,60.4167,0.245033,2006,3296,5302
198,2011-07-18,Fall,2011,Juli,0,Senin,Holiday,Clear,30.613346999999997,28.860925,65.125,0.215804,841,3617,4458
199,2011-07-19,Fall,2011,Juli,0,Selasa,Holiday,Clear,31.843347,30.646639,65.0417,0.1306,752,3789,4541
200,2011-07-20,Fall,2011,Juli,0,Rabu,Holiday,Clear,31.501653,30.62085,70.70830000000001,0.113817,644,3688,4332
201,2011-07-21,Fall,2011,Juli,0,Kamis,Holiday,Cloudy_Misty,33.415,33.881211,69.125,0.222021,632,3152,3784
202,2011-07-22,Fall,2011,Juli,0,Jumat,Holiday,Clear,34.781653,34.476736,58.0417,0.1331,562,2825,3387
